City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
201,hamilton,39.1834,-84.5333,295.1,33,0,5.66,US
202,valdivia,-39.8142,-73.2459,287.2,89,100,6.18,CL
203,divino das laranjeiras,-18.7778,-41.4797,300.29,43,0,4.22,BR
204,mao,39.8885,4.2658,292.46,82,20,3.09,ES
205,san patricio,28.017,-97.5169,305.07,54,84,3.03,US
206,phan rang-thap cham,11.5667,108.9833,298.86,88,99,1.52,VN
207,youkounkoun,12.5333,-13.1333,306.27,44,99,2.83,GN
208,metlili chaamba,32.2667,3.6333,300.67,17,20,4.63,DZ
209,ciudad lazaro cardenas,17.9583,-102.2,304.3,56,21,5.39,MX
210,igarka,67.4667,86.5833,273.01,96,100,1.01,RU
211,kill devil hills,36.0307,-75.676,291.15,82,100,8.75,US
212,las tablas,7.7667,-80.2833,303.87,64,80,2.85,PA
213,cedeira,43.6797,-8.0209,291.63,83,0,10.52,ES
214,acolla,-11.7319,-75.5463,284.16,73,100,2.73,PE
215,groningen,53.25,6.75,284.9,73,20,4.63,NL
216,peniche,39.3558,-9.3811,295.42,85,5,5.31,PT
217,horta,38.5333,-28.6333,291.49,76,75,4.12,PT
218,sao miguel do araguaia,-13.275,-50.1628,306.04,29,4,1.89,BR
219,tughyl,47.7252,84.2063,286.84,49,17,9.65,KZ
220,cabo san lucas,22.8909,-109.9124,305.76,37,40,2.57,MX
221,arraial do cabo,-22.9661,-42.0278,299.13,69,20,6.69,BR
222,port mathurin,-19.6833,63.4167,298.63,75,6,4.9,MU
223,nadym,65.5333,72.5167,284.91,50,96,6.31,RU
224,touros,-5.1989,-35.4608,300.94,78,96,7.03,BR
225,andergrove,-21.0833,149.1833,289.06,74,100,3.77,AU
226,bestobe,52.4994,73.0975,287.37,85,100,3.09,KZ
227,conception bay south,47.4999,-52.9981,281.68,71,100,4.7,CA
228,turpan,42.9333,89.1667,300.3,21,100,5.73,CN
229,goundam,16.4145,-3.6708,310.37,17,14,4.28,ML
230,yanam,16.7333,82.2167,300.26,73,100,0.7,IN
231,boden,65.8252,21.6886,283.15,41,14,4.12,SE
232,tommot,58.9564,126.2925,275.77,85,21,1.01,RU
233,beau vallon,-20.4189,57.6953,294.94,81,92,6.07,MU
234,zonguldak,41.25,31.8333,284.03,97,22,1.3,TR
235,portland,45.5234,-122.6762,297.72,53,20,2.57,US
236,radviliskis,55.8167,23.5333,290.18,63,0,3.09,LT
237,fort bragg,35.139,-79.006,298.51,51,75,6.69,US
238,bloemfontein,-29.1211,26.214,289.86,59,40,5.66,ZA
239,nuuk,64.1835,-51.7216,276.49,75,75,4.63,GL
240,deqen,29.9618,90.7188,281.86,70,71,3.29,CN
241,susuman,62.7833,148.1667,275.75,67,11,0.94,RU
242,hasaki,35.7333,140.8333,288.27,65,0,4.37,JP
243,mishan,45.55,131.8833,286.79,69,100,2.98,CN
244,idri,27.5,13.2667,302.0,14,6,3.69,LY
245,sai buri,6.7013,101.6168,299.05,84,80,2.37,TH
246,santiago de cao,-7.9589,-79.2392,298.22,69,75,4.63,PE
247,port alfred,-33.5906,26.891,290.47,94,75,1.79,ZA
248,santa elena de uairen,4.6167,-61.1333,298.79,68,100,2.33,VE
249,ola,59.5833,151.2833,276.01,96,98,0.96,RU
250,kavieng,-2.5744,150.7967,300.31,79,89,1.66,PG
251,kenai,60.5544,-151.2583,281.01,95,100,1.54,US
252,el porvenir,13.7617,-87.3458,305.78,45,60,2.18,HN
253,nalgonda,17.05,79.2667,305.85,40,34,2.55,IN
254,waingapu,-9.6567,120.2641,296.5,86,3,4.02,ID
255,votuporanga,-20.4228,-49.9728,302.09,30,0,1.83,BR
256,xichang,27.8964,102.2634,292.79,73,63,0.05,CN
257,buguruslan,53.6554,52.442,292.34,44,84,2.07,RU
258,bodo,67.28,14.405,278.17,85,75,10.29,NO
259,sinabang,2.4803,96.3801,299.79,83,98,1.37,ID
260,marakkanam,12.2,79.95,303.52,68,19,6.09,IN
261,hobyo,5.3505,48.5268,301.32,78,54,7.67,SO
262,shimanovsk,52.0,127.7,286.26,95,100,6.11,RU
263,kalmunai,7.4167,81.8167,301.04,80,5,1.85,LK
264,la ronge,55.1001,-105.2842,288.27,72,100,3.09,CA
265,kiunga,-6.1219,141.2906,294.75,100,100,0.77,PG
266,coquimbo,-29.9533,-71.3436,291.0,72,20,5.14,CL
267,puerto madryn,-42.7692,-65.0385,292.14,26,7,11.3,AR
268,karlskrona,56.1616,15.5866,291.4,38,0,6.14,SE
269,tercan,39.7794,40.3925,283.73,87,93,1.28,TR
270,novodvinsk,64.4165,40.8122,287.27,74,100,1.8,RU
271,gaogou,34.0175,119.1886,290.15,88,49,2.86,CN
272,nogent-sur-seine,48.4167,3.75,293.74,84,0,3.46,FR
273,manbij,36.5281,37.9549,295.57,42,78,3.38,SY
274,laguna,38.421,-121.4238,296.17,57,0,4.63,US
275,zouerate,22.7187,-12.4521,295.69,69,100,5.49,MR
276,kolonia,50.9333,6.95,290.7,58,0,5.14,DE
277,tindouf,27.6711,-8.1474,302.4,17,0,8.23,DZ
278,lamu,-2.2717,40.902,299.27,79,52,5.32,KE
279,kovalam,8.3667,76.9967,303.2,74,40,1.03,IN
280,motygino,58.1831,94.7592,274.87,84,73,2.2,RU
281,arkalyk,50.2486,66.9114,293.03,28,27,3.62,KZ
282,darwin,-12.4611,130.8418,294.14,83,40,3.09,AU
283,sao joao da barra,-21.6403,-41.0511,299.2,75,0,4.93,BR
284,aleshtar,33.8633,48.2619,291.17,71,100,0.99,IR
285,naze,28.3667,129.4833,293.66,74,99,5.21,JP
286,bargaal,11.2864,51.0773,301.69,79,21,3.48,SO
287,sorochinsk,52.4338,53.1583,292.03,47,5,2.26,RU
288,smidovich,48.6,133.8167,287.66,74,100,3.93,RU
289,kushiro,42.975,144.3747,282.78,84,0,0.33,JP
290,linxia chengguanzhen,35.6003,103.2064,281.12,87,100,2.47,CN
291,kaiapoi,-43.3783,172.6401,284.87,85,31,2.57,NZ
292,capayan,-28.761,-66.0502,302.48,43,0,2.45,AR
293,port blair,11.6667,92.75,301.17,83,20,1.03,IN
294,santana,-0.0583,-51.1817,299.25,100,75,2.57,BR
295,umm kaddadah,13.6017,26.6876,308.28,14,6,3.11,SD
296,choibalsan,48.0667,114.5,278.35,44,5,4.72,MN
297,dubrovnik,42.6481,18.0922,294.95,60,0,1.54,HR
298,polyarnyy,69.1989,33.4478,284.12,47,7,6.87,RU
299,roma,43.2128,-75.4557,290.9,48,20,5.14,US
300,ta`u,-14.2336,-169.5144,300.78,71,83,4.25,AS
301,puerto lopez,4.0845,-72.956,303.21,67,98,2.17,CO
302,namibe,-15.1961,12.1522,293.93,72,0,5.86,AO
303,cockburn town,21.4612,-71.1419,300.73,78,12,4.42,TC
304,khorugh,37.4897,71.553,281.26,72,9,3.09,TJ
305,zapolyarnyy,69.4154,30.8136,283.75,37,20,7.07,RU
306,fereydunshahr,32.941,50.121,288.49,42,100,2.06,IR
307,gamboula,4.1178,15.1393,296.42,83,100,0.98,CF
308,outokumpu,62.7269,29.0159,285.09,60,80,2.31,FI
309,pacific grove,36.6177,-121.9166,287.96,81,100,4.63,US
310,diu,20.7141,70.9822,301.55,80,0,7.61,IN
311,kostinbrod,42.8167,23.2167,289.14,84,18,1.04,BG
312,solone,48.2081,34.8721,290.09,89,100,2.26,UA
313,selfoss,63.9331,-20.9971,281.51,73,100,7.13,IS
314,cape coast,5.1053,-1.2466,300.45,85,19,3.97,GH
315,anna regina,7.2644,-58.5077,302.17,71,47,3.42,GY
316,tadine,-21.55,167.8833,292.95,75,0,4.18,NC
317,williams lake,52.1415,-122.1445,292.91,52,20,3.6,CA
318,cabedelo,-6.9811,-34.8339,301.52,82,100,7.26,BR
319,coahuayana de hidalgo,18.7,-103.6583,306.58,46,95,3.29,MX
320,balaipungut,1.05,101.2833,297.59,97,97,0.08,ID
321,areia branca,-4.9561,-37.1369,306.26,67,99,5.4,BR
322,minas de marcona,-15.2119,-75.1103,292.79,62,5,5.99,PE
323,lluta,-16.0147,-72.0142,286.67,41,39,4.52,PE
324,cruz alta,-28.6386,-53.6064,297.67,50,0,3.9,BR
325,tsiombe,-25.3,45.4833,293.02,70,1,5.85,MG
326,nizhneudinsk,54.9076,99.0276,276.08,66,85,2.7,RU
327,ayr,55.4627,-4.6339,290.89,63,3,3.6,GB
328,nema,57.5067,50.5011,292.37,64,0,4.12,RU
329,vila velha,-20.3297,-40.2925,298.68,78,20,4.12,BR
330,carnarvon,-24.8667,113.6333,293.72,50,100,9.17,AU
331,brownwood,31.7093,-98.9912,297.77,69,0,5.66,US
332,klaksvik,62.2266,-6.589,281.66,83,26,11.58,FO
333,francistown,-21.17,27.5079,293.34,31,100,2.82,BW
334,alice springs,-23.7,133.8833,286.9,72,100,7.44,AU
335,jayapura,-2.5333,140.7,298.81,91,85,1.46,ID
336,duobao,30.67,112.6895,295.07,88,100,1.76,CN
337,fale old settlement,-9.3852,-171.2468,301.39,76,21,5.6,TK
338,florence,43.7667,11.25,293.56,82,7,0.45,IT
339,nova xavantina,-14.6667,-52.35,305.24,35,84,2.19,BR
340,florida,28.7505,-82.5001,302.54,66,100,4.12,US
341,popondetta,-8.7537,148.2534,295.53,98,100,0.74,PG
342,hell-ville,-13.4,48.2667,298.75,74,1,1.27,MG
343,alofi,-19.0595,-169.9187,294.09,94,100,0.51,NU
344,oliveira dos brejinhos,-12.3169,-42.8961,304.96,30,66,3.91,BR
345,annotto bay,18.2717,-76.7652,305.33,76,0,1.79,JM
346,antsiranana,-12.2787,49.2917,295.93,91,3,1.48,MG
347,amahai,-3.3333,128.9167,300.93,87,100,2.88,ID
348,nuku'alofa,-21.1333,-175.2,295.34,83,100,2.57,TO
349,greymouth,-42.4667,171.2,285.15,90,100,4.04,NZ
350,leninsk-kuznetsky,54.6567,86.1737,276.34,66,0,4.02,RU
351,beringen,51.0507,5.2216,290.05,55,40,4.12,BE
352,vadso,70.0744,29.7487,284.64,50,0,6.17,NO
353,filiatra,37.15,21.5833,294.09,73,5,1.93,GR
354,new norfolk,-42.7826,147.0587,279.87,72,96,0.89,AU
355,saurimo,-9.6608,20.3916,295.35,56,12,1.85,AO
356,sile,41.1754,29.6133,290.69,71,11,0.89,TR
357,labasa,-16.4167,179.3833,296.23,94,100,4.0,FJ
358,howrah,22.5892,88.3103,297.15,88,100,4.12,IN
359,chimore,-16.9833,-65.1333,301.52,69,99,1.91,BO
360,abadan,30.3392,48.3043,308.12,28,0,3.09,IR
361,mammoth lakes,37.6485,-118.9721,289.55,33,0,3.09,US
362,el abiodh sidi cheikh,32.893,0.5484,296.26,29,92,2.51,DZ
363,cha-am,12.8,99.9667,299.66,79,57,3.17,TH
364,harper,4.375,-7.7169,299.66,87,99,3.06,LR
365,amga,60.8953,131.9608,275.51,88,43,0.72,RU
366,smithers,54.7804,-127.1743,290.33,51,40,1.03,CA
367,upata,8.0086,-62.3989,304.92,43,87,3.34,VE
368,bonthe,7.5264,-12.505,301.17,77,100,3.12,SL
369,pariaman,-0.619,100.12,299.18,86,98,1.13,ID
370,aberystwyth,52.4155,-4.0829,291.32,79,3,4.37,GB
371,buala,-8.145,159.5921,298.4,92,100,4.55,SB
372,haiku-pauwela,20.9219,-156.3051,298.16,79,40,6.69,US
373,porbandar,21.6422,69.6093,301.45,85,9,9.01,IN
374,dryden,49.7833,-92.7503,294.31,30,0,4.63,CA
375,ornskoldsvik,63.2909,18.7153,283.68,53,100,5.66,SE
376,karagandy,49.8019,73.1021,285.12,66,85,5.79,KZ
377,lichinga,-13.3128,35.2406,286.97,68,0,1.73,MZ
378,kruisfontein,-34.0033,24.7314,285.86,93,100,8.71,ZA
379,kachug,53.9606,105.8817,275.57,94,100,3.07,RU
380,ukiah,39.1502,-123.2078,299.5,64,0,3.6,US
381,severo-yeniseyskiy,60.3725,93.0408,271.47,93,20,1.39,RU
382,pirapemas,-3.7267,-44.2233,301.95,70,100,1.49,BR
383,taulaga,-11.0553,-171.0883,300.64,78,100,4.45,AS
384,queenstown,-31.8976,26.8753,289.04,54,100,6.06,ZA
385,sidi bel abbes,35.1899,-0.6309,293.77,54,0,3.51,DZ
386,aleksandrov gay,50.147,48.5704,295.96,34,100,7.29,RU
387,bechar,31.6167,-2.2167,302.33,14,40,2.57,DZ
388,pasni,25.2631,63.471,302.24,84,85,5.2,PK
389,siwa oasis,29.2041,25.5195,305.28,19,100,5.52,EG
390,pikalevo,59.5183,34.1664,285.77,77,28,1.0,RU
391,santa maria,-29.6842,-53.8069,301.76,45,0,2.57,BR
392,ikom,5.9667,8.7063,298.35,96,100,2.05,NG
393,ancud,-41.8697,-73.8203,281.05,87,100,5.99,CL
394,lubang,13.8584,120.124,301.57,74,100,2.65,PH
395,usogorsk,63.4106,48.6872,289.55,79,88,2.35,RU
396,fada,9.5667,8.3,295.62,89,94,2.23,NG
397,marsh harbour,26.5412,-77.0636,299.95,69,37,2.43,BS
398,argo,37.6333,22.7333,294.14,69,0,0.61,GR
399,seka,17.9285,103.9552,297.95,91,75,2.16,TH
400,mana,5.6592,-53.7767,300.59,84,100,4.35,GF
401,ngama,11.7833,17.1667,305.69,41,87,4.11,TD
402,mosjoen,65.836,13.1908,279.21,87,75,1.03,NO
403,priargunsk,50.3691,119.1012,282.51,67,90,3.99,RU
404,pemangkat,1.1667,108.9667,299.64,86,100,2.75,ID
405,jiazi,22.8779,116.067,297.42,94,83,2.05,CN
406,sao pedro,-22.5486,-47.9139,298.23,53,7,2.56,BR
407,andapa,-14.65,49.65,291.09,99,25,0.73,MG
408,holualoa,19.6228,-155.9522,298.03,79,20,1.79,US
409,yaren,-0.5472,166.916,301.6,70,95,0.91,NR
410,les cayes,18.2,-73.75,302.98,63,17,5.48,HT
411,awjilah,29.1081,21.2869,305.98,12,100,6.63,LY
412,mandiana,10.6333,-8.6833,300.88,59,100,1.41,GN
413,tazovsky,67.4667,78.7,276.06,88,100,4.51,RU
414,al hilaliyya,14.9398,33.234,311.4,11,4,3.38,SD
415,saint croix,17.7397,-64.7388,303.4,66,20,5.66,VI
416,sernur,56.9333,49.1536,291.72,70,100,3.91,RU
417,prince rupert,54.3161,-130.3201,285.2,86,0,1.54,CA
418,etowah,35.3176,-82.5943,298.92,42,0,2.06,US
419,afaahiti,-17.75,-149.2833,300.08,75,53,4.47,PF
420,tanout,14.9709,8.8879,309.89,18,39,1.2,NE
421,vallenar,-28.5708,-70.7581,297.18,28,83,3.89,CL
